	Column_1	Column_2	Column_3
Row_1	0.844904241408072	-0.601892845985016	1.43040234118818
Row_2	-0.782201845619403	-0.993698591098714	1.04662884711155
Row_3	1.1107114182028	1.0267850560749	0.435288948907682
Row_4	0.249824719926562	0.751061302606323	0.71517840711106
Row_5	1.65191539162316	-1.5091665373287	0.917174917641003
Row_6	-1.45897072853692	-0.0951474508492868	-2.66092279846568
Row_7	-0.0512978861253612	-0.895947822756499	1.11027709663882
Row_8	-0.526925176125598	-2.07075107054196	-0.484987596562325
Row_9	-0.197264869076299	0.150120131188143	0.230616830631202
Row_10	-0.629578742686005	-0.0792117092585882	-0.295157800883577
Row_11	-0.833843580535001	-0.097369267513081	0.871964954078744
Row_12	0.57872237461645	0.216152541801233	-0.348472448955611
Row_13	-1.08758071407693	0.882465164396587	0.518503765888248
Row_14	1.48403093155628	0.205597504483387	-0.390684978638979
Row_15	-1.18620658531375	-0.616435842873528	-1.09278720910151
Row_16	0.10107915139528	-0.734799251921281	1.21001051044026
Row_17	0.532989286826481	-0.131802793041181	0.740900011274274
Row_18	0.586735339092625	0.310016986578952	1.72426223915645
Row_19	-0.30174666386638	-1.03968035270204	0.0651539325793032
Row_20	0.079501995328401	-0.184308868842384	1.12500274582817
Row_21	0.961264151809677	0.967267260167914	1.97541905401908
Row_22	-1.45646591707643	-0.108280091234486	-0.281482115038967
Row_23	-0.781739711532082	-0.69842066759439	-1.32295111275522
Row_24	0.32040231431661	-0.27594516842554	-0.239351567138116
Row_25	-0.444781978336992	1.11464854536198	-0.214041239985383
Row_26	1.370003993971	0.550043961214136	0.15168050450932
Row_27	0.673253863354836	1.23667580008161	1.71230497731928
Row_28	0.0721667524147558	0.139097857161771	-0.326143892505348
Row_29	-1.50775731753668	0.410275096490425	0.373004655804915
Row_30	0.0261002253262418	-0.558456912348133	-0.227684064895531
Row_31	-0.316415868196993	0.605370668930333	0.0204507085250325
Row_32	-0.102346513520598	-0.506333542189239	0.314057663506262
Row_33	-1.18155922705569	-1.42056550469574	1.32821469603699
Row_34	0.498658043829925	0.127992965684126	0.121318377490778
Row_35	-1.03895644030703	1.94585121773144	0.712842320031113
Row_36	-0.22622198144241	0.800914339573062	0.778860029783535
Row_37	0.381425829451352	1.16525338994626	0.914773270855634
Row_38	-0.783515789013048	0.358855723093152	-0.574394552184383
Row_39	0.582991405680064	-0.608557178316224	1.62688121419468
Row_40	-1.31651040165169	-0.202240855110284	-0.380956739294013
Row_41	-2.80977467896054	-0.273248106811925	-0.105784167649752
Row_42	0.464967990785852	-0.468699779782087	1.40405026771417
Row_43	0.840539826961	0.704167283929716	1.29408390614558
Row_44	-0.285845423591384	-1.19736350236541	-1.08999187241124
Row_45	0.504126254591608	0.866366132112773	-0.873071000417463
Row_46	-1.15591652508367	0.864152486225893	-1.35807905937061
Row_47	-0.127148606825662	-1.19862235906875	0.181847192619832
Row_48	-1.94151837604062	0.639491997900534	0.164840867918466
Row_49	1.18118089143852	2.43022665234451	0.364114687355063
Row_50	1.85991086154316	-0.557215481941608	0.552157714218558
Row_51	2.27178088880871	1.06149529854662	4.07401226028199
Row_52	1.45955759470999	3.10719040701615	2.97265303358626
Row_53	2.3069053859894	3.60877901173463	2.96666965772408
Row_54	3.11884943300456	1.54917568650937	1.4839323768489
Row_55	1.63529054201309	3.48062559987522	3.79038534388823
Row_56	3.58998267936731	2.1718257296032	2.78926581930822
Row_57	3.28934402881734	4.02025301216443	2.34325707463892
Row_58	2.09578497437936	3.53848203210264	1.58797420734169
Row_59	3.22632494238106	3.76905229499561	2.70023750335373
Row_60	3.74808116249384	3.12071932928703	2.15093886498329
Row_61	4.06109525326174	3.86364843415775	2.60296947967216
Row_62	2.78715172135347	4.38051452831454	1.7824000122364
Row_63	2.90636320608895	4.96624801545563	4.6875894829457
Row_64	2.91328586501808	2.97160494525093	2.98399747279203
